	L2_ACTTGA	L2_ATCACG	L2_CAGATC	L2_CGATGT	L2_CTTGTA	L2_GATCAG	L2_GCCAAT	L2_GGCTAC	L2_TAGCTT	L2_TGACCA	L2_TTAGGC	L3_ACAGTG	L3_ACTTGA	L3_CAGATC	L3_CGATGT	L3_CTTGTA	L3_GATCAG	L3_GCCAAT	L3_GGCTAC	L3_TAGCTT	L3_TGACCA	L3_TTAGGC	L6_ACAGTG	L6_ACTTGA	L6_ATCACG	L6_CAGATC	L6_CGATGT	L6_CTTGTA	L6_GATCAG	L6_GCCAAT	L6_GGCTAC	L6_TAGCTT	L6_TGACCA	L6_TTAGGC
MEP	589.22408344025	193.09349256166	259.334278277889	547.821059126332	449.793274352019	519.391049691118	400.519354693709	448.12331737692	498.94976702691	178.105620900487	114.374230838861	243.418960561704	360.513440173631	374.849502765522	399.240811278598	451.581796191781	312.755685727132	270.187522780684	204.977858528717	214.027170809472	753.917885442439	388.277080564862	338.708516500036	257.605471326986	444.309856640753	509.813256484448	307.28472104684	517.777345571816	230.919685358529	351.117192524408	510.927341927171	502.864005265013	242.359709141239	298.475139828513
MPP	664.198589761648	74.0099584144145	517.888874663884	482.319908239492	414.299914815912	740.780743852649	422.646004345001	563.835650038924	666.717552701859	383.492874045432	612.76808374884	245.894075401881	346.774050181208	420.574967129959	500.05740241558	396.867173395286	138.67309119314	493.671084872915	386.479599539048	378.554115728319	838.025214469887	384.04935443876	380.442227628012	418.775600465451	615.532311977823	463.331381835142	529.36056028758	703.638566032887	481.303565216155	588.49421081701	893.654024221257	463.546574542461	200.442344781572	412.078733901273
MSC	503.40659461795	529.126913630296	593.485365616933	460.237153647449	349.094020383097	623.275912033344	579.371968806081	713.938305708691	684.240550898596	606.616811096666	227.291087787548	295.641496606306	754.298095977377	410.704539621802	194.011984080172	702.581280309409	442.700816700326	578.174929916502	231.927247379617	414.083111116255	398.099068571589	543.113452045204	465.215722392957	478.866020584967	653.332210911838	526.234400498352	488.920376155338	883.133811300042	691.665180290697	590.295965068222	613.280417426274	425.743591114454	368.989406769193	500.182736939196
Macrophages	403.045090879497	126.793470228617	233.825333940148	270.244621886386	113.613303695133	120.836129733788	154.399398036672	273.590251296676	50.5981154943015	267.10874040146	374.428536216574	359.829615632761	426.961953139501	203.149354015691	167.29158949967	198.869629014741	404.097437619835	313.972531005843	205.628324564965	369.437539202187	286.390038113677	302.40042588963	172.491136982592	287.79094812639	283.040904587604	390.486195940894	99.1233606430526	68.4355130695917	328.868167861612	281.132494534306	156.485577381498	220.552408919034	300.60755705946	390.19409188591
Macrophages M1	510.723952347474	177.256736499179	195.947156568605	273.791641939416	167.823677831157	101.710888442088	234.867226697175	323.356375414086	204.287538194042	235.077452487549	389.997362350046	463.471287490204	519.701251288672	315.800790074635	183.869265739027	76.4410922594605	352.994129894178	411.194133917867	322.49158387639	306.919178752667	423.05344412711	274.081252669986	170.97095710438	208.124615662467	257.318167211803	397.670045472165	179.757099519592	84.9131455698978	410.351122171608	226.618094974123	269.812118209488	275.09354847004	179.327675803493	361.438794560828
Macrophages M2	376.237872950483	141.817238457011	245.092293594967	356.085569324096	239.323077198415	228.456396807573	124.586241914453	273.199038993098	136.324325296341	178.785482398966	368.798192452232	312.852568886231	488.991532731457	191.2397210639	179.329643437086	119.687479778819	299.570932009558	214.799779826551	221.613103245283	238.009589000592	363.170938202177	281.230402280847	164.704005773184	127.980512757242	296.408800377455	335.645280194506	196.686446854349	145.827292027815	279.400469938384	173.66154051711	194.754675055781	192.102158721652	344.152127931284	314.369785241215
Mast cells	332.41298238589	60.2061677876222	213.158725019399	326.76232221669	68.0692753422191	308.438215614562	92.5986429095305	314.878511933536	248.808543952753	174.088291262456	188.95005343683	150.828943236881	222.130187395398	207.310023574879	0	86.6483706352693	178.682935459393	212.187032047116	107.452735939191	251.021349668394	257.32482710266	148.548226752329	49.4077943037414	212.614664228374	307.851403823522	274.591354765447	128.635841200109	200.592736003788	188.461019432718	181.745202085901	348.984533741097	194.722513171999	73.8897423793507	193.705258870768
Megakaryocytes	1349.91980966996	867.790481495898	1577.10937097647	1160.91538917689	549.300592742408	926.60862221078	895.622728432278	1194.12352277271	88.7189234207809	936.25608790092	1211.42327923902	1284.64616268957	1268.728996335	953.96251686298	977.268415357514	1090.07084347689	1505.51732858171	1998.31472827108	1256.71460811783	1384.38750268176	1297.59327497997	1482.9935233969	598.915977481045	1250.14232476746	815.28539772081	1258.61867535388	474.096767096671	23.1923018797656	1963.13211804192	1474.58757342631	1084.85395388204	882.748603708976	290.001499617159	1082.96823717258
Melanocytes	402.600422478675	152.853739323079	400.466537426171	529.945243482633	308.532776469862	370.353067186569	321.018950427517	329.387008382515	211.595698448136	372.136807258687	395.637532750878	441.997467030508	509.634510492138	495.715238233698	308.791326958305	388.776575157224	441.478309132029	302.124852255434	246.257985124474	396.668366166898	360.262582769611	323.043917586803	157.027825785703	350.127475467856	304.31689636448	391.380125655674	311.029377574268	80.5274576499948	266.342937563726	469.601383927622	345.689029640229	454.024951452389	378.306740249136	305.889367279555
Memory B-cells	281.118093361434	198.08733891798	573.97347316376	204.553412895361	1076.21538872448	1334.81713965153	378.164121937015	1337.36686695892	1847.29399797345	322.331567408242	729.646924124609	583.904183073921	33.2993310274522	1008.50896039376	409.997003857692	272.392178492215	223.351353079542	553.550103149015	252.013884486567	140.701632359004	131.051870437123	409.972037132432	426.595533853363	423.038543829768	1257.66538064603	261.046928972769	1182.67596529423	1799.96658392093	738.9272337097	642.92045051792	1449.91326273474	1068.28083691069	154.509606695197	514.777595551204
Mesangial cells	421.832386480095	290.750538116776	389.715524756094	405.714801717878	351.370898375834	157.928147872994	334.734910015095	323.230203974089	30.6913742836991	285.26539871381	356.66616674326	352.699943090667	348.749258419911	387.345259705717	449.633425388265	393.967860722285	426.133997857977	372.655077360948	529.812043852927	251.685665308612	381.404881018761	421.889382070022	325.115002187591	496.6149516567	331.524427778016	353.439534379146	446.590482375185	251.478808988903	485.493704429529	520.833341241861	241.521317831884	313.059054366037	387.956653321421	367.874323722722
Monocytes	1013.00398990241	617.14829615916	939.703075383523	913.796733304661	716.132613380745	295.744293817854	645.017433569331	859.131273001237	105.685681007107	805.516749088979	1024.09230486347	1071.26682697625	1121.24168467512	579.056006417857	666.661507939174	816.721761860073	1088.57241874222	1004.23209661153	712.567719308318	965.115662092422	1013.63233473965	974.625728701919	699.650534099989	866.367681409596	690.346080665762	1012.44443025715	795.046768564016	29.7529318040133	898.227053664791	953.14790638772	285.500619759475	581.940159739112	898.740033126611	929.037193358776
Myocytes	470.846043841042	256.594618718656	424.761678931045	433.204735729544	404.231245783285	265.581508597228	379.523402511614	338.181342166847	353.411505015994	405.984345669637	486.714703256058	246.449733725981	410.945780891503	176.563452708474	203.911710353771	229.417301227022	195.962027841313	319.234030552377	363.939159600127	334.067722780377	527.458795633644	402.219420548618	365.692555711318	254.858293958008	307.331372882147	540.472583745553	569.590382348011	361.781416132469	325.445843415391	347.900570800516	198.534614943745	124.438618550455	446.265840923472	353.577060330443
NK cells	379.29027080994	1091.48554816089	957.121213903463	667.434972693021	408.759591499981	57.2293371258772	1014.69409939232	202.713552271161	888.784156920536	724.086602809302	1059.03922666924	754.486502864282	1007.63770654193	271.853110785986	858.675770034493	778.566717457693	925.150418385682	619.139690733713	931.379581816895	836.755239556344	419.30536011206	891.086473005734	1042.89605954397	954.603477141825	267.209954999122	355.384275287497	453.115816685717	948.050682100642	474.351477601567	958.958519894685	60.3615186833283	279.752356980811	675.789726945065	516.605393611223
NKT	575.908740429752	336.880075174698	854.861267201948	374.307260567496	407.443335479669	51.3035251961926	575.895152658494	394.874929606446	14.6900400384826	482.500338075277	615.803299560763	678.756570442992	488.158031288486	261.517582615546	416.153389783837	699.667789036883	956.683377167516	383.232158028424	151.775695217826	514.007404907856	777.093045288041	1051.13821100656	386.405215059518	634.564945962794	570.798906175383	567.101152841176	457.232324155575	139.821744576378	637.023961339002	708.622350345511	82.143935667878	223.439279125896	755.855566403888	619.298882785577
Neurons	114.413795300739	190.005167509496	186.164684887148	185.881304389242	129.378328725285	220.238151292501	120.865833677728	151.344482346847	220.189372598065	129.838133635346	139.848665046102	117.673883073785	88.0426391085792	195.122360907578	125.790446718152	235.476033407074	115.058764451062	175.177673157169	145.491085997673	145.548322615223	92.8860988230402	148.28272777083	117.985998500445	210.76760916722	97.9468780193506	124.565536460635	118.049833457252	122.006936888673	186.970328767468	156.847094190639	158.855554918367	124.851190401488	191.114532188439	75.3588445504389
Neutrophils	2057.37508092509	1957.75350488031	2455.67518238342	1985.67666584238	1656.44082174361	1149.35904804641	1974.60220227738	1809.66035072036	48.2847039244414	2323.45744738555	2302.74218163757	2262.85149575478	1977.09827038664	1671.0373837602	1926.44930970855	2069.12843018252	2170.49020719215	1984.69416105824	1661.45263179475	2145.64384198162	2006.30065249486	2448.24486508146	2000.8955564173	2479.58081888155	1730.33956868648	1971.96809246699	1638.55431807634	103.692026535418	2015.04689957008	2437.22777999341	1100.28230556355	1806.34727814855	2548.70279760963	2216.68364460312
Osteoblast	117.372667260476	227.16102201553	151.109289181414	64.9401147758107	96.0667669562997	165.191965767452	177.556083596809	204.412683973026	273.884367104683	151.664135009203	163.945832066565	200.14510868416	147.358870611094	248.808980432304	204.773281943769	108.321442873004	273.763510493287	206.552210554216	128.282700281083	186.595037616489	211.271983344783	206.169610200008	276.422542814459	116.800697092717	226.012210032188	255.053422252733	181.594372684633	267.784888836873	152.312531411856	137.462508890403	201.559460058163	235.0310244163	157.616548575354	198.542805779992
Pericytes	187.982760316739	180.663014996212	266.106096467373	243.637574368338	256.182612794222	344.506689219754	222.876600571312	370.330556362077	392.650454745892	277.348810954053	379.714681497913	321.84227091816	210.441937253035	234.93934322177	199.834023985134	299.771190717094	311.849776743414	301.992590550753	238.02289931217	227.462235733347	310.054474566378	388.480672550353	278.958471457654	436.598837788429	357.71465761254	283.466508693851	253.256495200142	346.584840724254	443.931009643253	280.824002090903	334.110906646718	175.762240260296	328.351158265923	403.474313572352
Plasma cells	154.008364165605	308.752844980566	366.426912739708	199.024349484652	417.987741429047	759.726390565899	334.796749449009	452.329568142454	698.165059448221	345.578182206299	323.008192080546	202.542431513395	150.713722383065	1106.58298359999	301.447147344478	177.288050634322	202.923307205386	196.762561841744	242.567575554488	75.5882663814294	178.908087683784	228.061579124303	511.736037693276	229.193225443359	540.649811599162	78.4549462602188	426.243492972847	637.076695670387	368.387939071899	346.607853858026	1009.77225115262	1180.61639284914	162.594287006282	265.585494617354
Platelets	718.030182036838	323.35367365224	577.576191114678	668.685998771158	231.946590244034	587.031881194461	367.57957609405	687.187576102097	37.3266752816472	400.678856178824	460.25576691903	591.860986141619	557.866913078731	488.951172707002	322.367183192995	358.850099560925	634.765104693329	957.415177062338	574.870369104927	729.970107729768	629.614436567367	540.161110451523	303.08641893777	529.781732847877	582.099027012734	634.012766673412	199.71265798094	38.7663744335547	892.161788639424	627.931989545153	586.578019275341	486.000274348176	0	428.485880457528
Preadipocytes	290.382137779908	404.338064934754	252.526221195311	275.854715628575	422.628084999915	556.48664265434	406.194078384155	356.993837747585	569.54250624903	335.879658131738	217.384123764619	282.533936675604	220.792005312179	507.875848307142	256.194133215767	441.186922781768	295.674227944876	364.788814197581	495.14870975708	437.486386527549	267.556714583139	211.875834639243	276.375229295013	173.280413925854	265.875318813245	213.371507533211	442.467208417171	514.793782921705	432.656069434966	286.438981278233	501.994824060356	602.733122034085	112.768148563011	322.23802773335
